date,number_of_checks-no_verification,count-nombre
2021-09-01,1-6,<20
2021-09-01,7-12,<20
2021-09-01,13-30,<20
2021-09-01,30+,<20
2021-09-02,0,<20
2021-09-02,1-6,<20
2021-09-02,7-12,<20
2021-09-02,13-30,<20
2021-09-02,30+,<20
2021-09-03,0,<20
2021-09-03,1-6,<20
2021-09-03,7-12,<20
2021-09-03,13-30,<20
2021-09-03,30+,<20
2021-09-04,0,<20
2021-09-04,1-6,<20
2021-09-04,7-12,<20
2021-09-04,13-30,<20
2021-09-04,30+,<20
2021-09-05,0,<20
2021-09-05,1-6,<20
2021-09-05,7-12,<20
2021-09-05,13-30,<20
2021-09-05,30+,<20
2021-09-06,0,<20
2021-09-06,1-6,<20
2021-09-06,7-12,<20
2021-09-06,13-30,<20
2021-09-06,30+,<20
2021-09-07,0,<20
2021-09-07,1-6,<20
2021-09-07,7-12,<20
2021-09-07,13-30,<20
2021-09-07,30+,<20
2021-09-08,0,<20
2021-09-08,1-6,<20
2021-09-08,7-12,<20
2021-09-08,13-30,<20
2021-09-08,30+,<20
2021-09-09,0,<20
2021-09-09,1-6,<20
2021-09-09,7-12,<20
2021-09-09,13-30,<20
2021-09-09,30+,<20
2021-09-10,0,<20
2021-09-10,1-6,<20
2021-09-10,7-12,<20
2021-09-10,13-30,<20
2021-09-10,30+,<20
2021-09-11,0,<20
2021-09-11,1-6,<20
2021-09-11,7-12,<20
2021-09-11,13-30,<20
2021-09-11,30+,<20
2021-09-12,0,<20
2021-09-12,1-6,<20
2021-09-12,7-12,<20
2021-09-12,13-30,<20
2021-09-12,30+,<20
2021-09-13,0,<20
2021-09-13,1-6,<20
2021-09-13,7-12,<20
2021-09-13,13-30,<20
2021-09-13,30+,<20
2021-09-14,0,<20
2021-09-14,1-6,<20
2021-09-14,7-12,<20
2021-09-14,13-30,<20
2021-09-14,30+,<20
2021-09-15,0,<20
2021-09-15,1-6,<20
2021-09-15,7-12,<20
2021-09-15,13-30,<20
2021-09-15,30+,<20
2021-09-16,0,<20
2021-09-16,1-6,<20
2021-09-16,7-12,<20
2021-09-16,13-30,<20
2021-09-16,30+,<20
2021-09-17,0,<20
2021-09-17,1-6,<20
2021-09-17,7-12,<20
2021-09-17,13-30,<20
2021-09-17,30+,<20
2021-09-18,0,<20
2021-09-18,1-6,<20
2021-09-18,7-12,<20
2021-09-18,13-30,<20
2021-09-18,30+,<20
2021-09-19,0,<20
2021-09-19,1-6,<20
2021-09-19,7-12,<20
2021-09-19,13-30,<20
2021-09-19,30+,<20
2021-09-20,0,<20
2021-09-20,1-6,<20
2021-09-20,7-12,<20
2021-09-20,13-30,<20
2021-09-20,30+,<20
2021-09-21,0,<20
2021-09-21,1-6,<20
2021-09-21,7-12,<20
2021-09-21,13-30,<20
2021-09-21,30+,<20
2021-09-22,0,<20
2021-09-22,1-6,<20
2021-09-22,7-12,<20
2021-09-22,13-30,<20
2021-09-22,30+,<20
2021-09-23,0,<20
2021-09-23,1-6,<20
2021-09-23,7-12,<20
2021-09-23,13-30,<20
2021-09-23,30+,<20
2021-09-24,0,<20
2021-09-24,1-6,<20
2021-09-24,7-12,<20
2021-09-24,13-30,<20
2021-09-24,30+,<20
2021-09-25,0,<20
2021-09-25,1-6,<20
2021-09-25,7-12,<20
2021-09-25,13-30,<20
2021-09-25,30+,<20
